Name,Age,City,Occupation
Person0,44,Paris,Artist
Person1,72,Paris,Artist
Person2,56,Paris,Teacher
Person3,33,Paris,Doctor
Person4,54,New York,Doctor
Person5,68,Paris,Teacher
Person6,66,Paris,Teacher
Person7,28,London,Artist
Person8,38,Paris,Doctor
Person9,46,Paris,Artist
Person10,21,London,Artist
Person11,48,Paris,Engineer
Person12,37,New York,Artist
Person13,43,Paris,Doctor
Person14,35,Paris,Artist
Person15,65,Tokyo,Doctor
Person16,80,Tokyo,Teacher
Person17,55,London,Teacher
Person18,62,Paris,Teacher
Person19,52,Paris,Teacher
Person20,71,Tokyo,Teacher
Person21,72,London,Doctor
Person22,38,Paris,Engineer
Person23,35,Paris,Doctor
Person24,60,Paris,Teacher
Person25,36,Tokyo,Teacher
Person26,52,New York,Engineer
Person27,26,Tokyo,Doctor
Person28,24,Paris,Doctor
Person29,48,Tokyo,Teacher
Person30,80,London,Teacher
Person31,77,New York,Engineer
Person32,21,Paris,Teacher
Person33,39,Tokyo,Doctor
Person34,28,London,Doctor
Person35,70,New York,Teacher
Person36,73,Tokyo,Artist
Person37,49,London,Teacher
Person38,59,Tokyo,Teacher
Person39,64,London,Engineer
Person40,40,Paris,Teacher
Person41,25,Paris,Teacher
Person42,37,London,Teacher
Person43,61,Tokyo,Doctor
Person44,47,Tokyo,Teacher
Person45,32,London,Teacher
Person46,35,Tokyo,Engineer
Person47,28,Tokyo,Engineer
Person48,72,Paris,Artist
Person49,67,New York,Artist
Person50,58,Paris,Doctor
Person51,69,London,Engineer
Person52,51,New York,Teacher
Person53,71,New York,Doctor
Person54,57,New York,Doctor
Person55,23,Tokyo,Teacher
Person56,55,Paris,Artist
Person57,63,New York,Engineer
Person58,30,Paris,Doctor
Person59,72,London,Doctor
Person60,77,Paris,Teacher
Person61,76,Tokyo,Artist
Person62,33,London,Engineer
Person63,34,Tokyo,Engineer
Person64,44,London,Teacher
Person65,32,New York,Doctor
Person66,18,New York,Doctor
Person67,42,London,Engineer
Person68,36,New York,Engineer
Person69,36,Tokyo,Teacher
Person70,57,Tokyo,Teacher
Person71,43,Tokyo,Teacher
Person72,28,London,Doctor
Person73,30,New York,Engineer
Person74,71,Tokyo,Engineer
Person75,51,London,Artist
Person76,21,Tokyo,Doctor
Person77,54,Tokyo,Teacher
Person78,80,Tokyo,Engineer
Person79,61,Paris,Engineer
Person80,41,New York,Artist
Person81,58,New York,Artist
Person82,70,Paris,Doctor
Person83,19,New York,Doctor
Person84,71,Tokyo,Doctor
Person85,75,Paris,Teacher
Person86,76,Paris,Teacher
Person87,57,Paris,Teacher
Person88,32,Paris,Doctor
Person89,41,Tokyo,Artist
Person90,27,New York,Artist
Person91,20,New York,Artist
Person92,75,London,Teacher
Person93,57,New York,Teacher
Person94,39,Paris,Engineer
Person95,29,Tokyo,Doctor
Person96,32,New York,Engineer
Person97,37,Paris,Teacher
Person98,21,Paris,Teacher
Person99,73,Tokyo,Engineer
Person100,67,London,Engineer
Person101,45,New York,Doctor
Person102,28,Paris,Artist
Person103,59,Paris,Doctor
Person104,18,London,Doctor
Person105,57,London,Artist
Person106,75,London,Artist
Person107,20,London,Engineer
Person108,27,New York,Teacher
Person109,57,New York,Artist
Person110,54,New York,Artist
Person111,19,Tokyo,Artist
Person112,71,Paris,Teacher
Person113,65,Tokyo,Engineer
Person114,66,Tokyo,Doctor
Person115,64,Tokyo,Teacher
Person116,35,London,Teacher
