Name,Age,City,Occupation
Person0,63,Tokyo,Artist
Person1,67,New York,Artist
Person2,79,Tokyo,Teacher
Person3,29,Paris,Artist
Person4,22,New York,Artist
Person5,32,New York,Teacher
Person6,68,Paris,Doctor
Person7,57,London,Artist
Person8,39,Paris,Engineer
Person9,36,London,Teacher
Person10,33,Paris,Teacher
Person11,80,London,Teacher
Person12,20,New York,Artist
Person13,37,Paris,Teacher
Person14,72,New York,Teacher
Person15,48,New York,Teacher
Person16,45,New York,Engineer
Person17,25,Paris,Engineer
Person18,77,Paris,Engineer
Person19,75,Paris,Doctor
Person20,58,Paris,Artist
Person21,45,New York,Artist
Person22,42,Paris,Doctor
Person23,60,Tokyo,Artist
Person24,44,Paris,Teacher
Person25,79,London,Artist
Person26,80,Tokyo,Teacher
Person27,50,Paris,Teacher
Person28,66,Paris,Teacher
Person29,18,Paris,Doctor
Person30,38,London,Teacher
Person31,77,Paris,Doctor
Person32,25,Tokyo,Teacher
Person33,20,Tokyo,Engineer
Person34,42,London,Doctor
Person35,73,New York,Doctor
Person36,27,London,Engineer
Person37,29,New York,Engineer
Person38,34,London,Engineer
Person39,22,New York,Artist
Person40,33,Paris,Engineer
Person41,35,Paris,Artist
Person42,32,Paris,Teacher
Person43,77,Tokyo,Artist
Person44,69,London,Artist
Person45,71,Tokyo,Engineer
Person46,42,London,Artist
Person47,51,Tokyo,Artist
Person48,23,London,Engineer
Person49,26,Tokyo,Engineer
Person50,33,New York,Teacher
Person51,50,New York,Artist
Person52,24,Tokyo,Doctor
Person53,28,New York,Doctor
Person54,20,Paris,Doctor
Person55,49,New York,Engineer
Person56,38,New York,Teacher
Person57,70,London,Doctor
Person58,48,Paris,Teacher
Person59,23,London,Teacher
Person60,58,London,Doctor
Person61,66,Paris,Engineer
Person62,78,Tokyo,Engineer
Person63,34,New York,Doctor
Person64,76,London,Engineer
Person65,24,London,Doctor
Person66,56,New York,Engineer
Person67,36,Paris,Artist
Person68,35,Paris,Teacher
Person69,21,New York,Artist
Person70,72,New York,Teacher
Person71,63,London,Engineer
Person72,33,London,Teacher
Person73,67,Paris,Engineer
Person74,51,Paris,Engineer
Person75,64,London,Teacher
Person76,55,Paris,Engineer
Person77,56,New York,Doctor
Person78,34,Paris,Artist
Person79,51,Tokyo,Engineer
Person80,51,London,Doctor
Person81,59,London,Teacher
Person82,20,Paris,Doctor
Person83,54,Paris,Engineer
Person84,46,New York,Doctor
Person85,28,London,Artist
Person86,77,London,Engineer
Person87,76,New York,Teacher
Person88,22,New York,Doctor
Person89,26,London,Engineer
Person90,57,Paris,Artist
Person91,45,London,Artist
Person92,47,Paris,Engineer
Person93,71,London,Teacher
Person94,75,Tokyo,Engineer
Person95,23,Tokyo,Doctor
Person96,28,London,Doctor
Person97,50,New York,Teacher
Person98,61,London,Artist
Person99,75,Tokyo,Teacher
Person100,66,London,Engineer
Person101,22,London,Teacher
Person102,37,London,Doctor
Person103,61,London,Doctor
Person104,33,Paris,Doctor
