Name,Age,City,Occupation
Person0,40,New York,Teacher
Person1,29,New York,Engineer
Person2,74,Paris,Doctor
Person3,52,London,Engineer
Person4,42,Tokyo,Doctor
Person5,27,New York,Teacher
Person6,63,New York,Doctor
Person7,72,New York,Artist
Person8,27,New York,Doctor
Person9,31,London,Engineer
Person10,76,Tokyo,Artist
Person11,60,New York,Engineer
Person12,34,London,Artist
Person13,47,New York,Engineer
Person14,65,Paris,Teacher
Person15,69,New York,Artist
Person16,63,New York,Teacher
Person17,36,Paris,Doctor
Person18,72,London,Engineer
Person19,51,Tokyo,Engineer
Person20,54,New York,Teacher
Person21,21,New York,Teacher
Person22,49,London,Engineer
Person23,65,London,Teacher
Person24,80,New York,Engineer
Person25,31,New York,Engineer
Person26,30,Tokyo,Doctor
Person27,38,New York,Doctor
Person28,22,Tokyo,Doctor
Person29,70,New York,Doctor
Person30,43,London,Artist
Person31,68,New York,Artist
Person32,40,New York,Engineer
Person33,76,London,Teacher
Person34,30,Paris,Engineer
Person35,39,Tokyo,Engineer
Person36,49,New York,Doctor
Person37,59,Paris,Artist
Person38,18,Tokyo,Doctor
Person39,30,Paris,Teacher
Person40,68,London,Artist
Person41,63,New York,Teacher
Person42,45,Paris,Doctor
Person43,40,London,Doctor
Person44,63,London,Engineer
Person45,72,Tokyo,Engineer
Person46,64,Paris,Artist
Person47,62,New York,Engineer
Person48,52,Tokyo,Artist
Person49,19,London,Engineer
Person50,44,London,Engineer
Person51,31,New York,Engineer
Person52,25,New York,Doctor
Person53,61,Tokyo,Teacher
Person54,24,London,Artist
Person55,36,London,Teacher
Person56,58,Paris,Engineer
Person57,22,Paris,Engineer
Person58,67,New York,Artist
Person59,29,New York,Engineer
Person60,24,Tokyo,Artist
Person61,78,New York,Doctor
Person62,73,Paris,Teacher
Person63,49,New York,Doctor
Person64,27,New York,Artist
Person65,48,Paris,Teacher
Person66,64,Paris,Artist
Person67,60,Tokyo,Engineer
Person68,20,New York,Artist
Person69,36,New York,Doctor
Person70,49,Tokyo,Teacher
Person71,22,Paris,Doctor
Person72,29,Paris,Teacher
Person73,20,Tokyo,Teacher
Person74,44,New York,Teacher
Person75,49,Paris,Artist
Person76,74,Tokyo,Teacher
Person77,56,New York,Doctor
Person78,24,Paris,Doctor
Person79,59,New York,Teacher
Person80,32,New York,Artist
Person81,46,New York,Engineer
Person82,36,New York,Doctor
Person83,35,Tokyo,Teacher
Person84,63,Paris,Teacher
Person85,78,New York,Teacher
Person86,19,London,Doctor
Person87,73,Tokyo,Artist
Person88,80,Paris,Teacher
Person89,49,London,Teacher
Person90,73,Paris,Teacher
Person91,54,Paris,Teacher
Person92,18,Tokyo,Engineer
Person93,59,London,Engineer
Person94,33,Tokyo,Doctor
Person95,35,London,Engineer
Person96,34,New York,Artist
Person97,58,New York,Engineer
Person98,57,London,Engineer
Person99,74,New York,Artist
Person100,47,London,Teacher
Person101,48,London,Teacher
Person102,64,London,Engineer
Person103,70,Tokyo,Teacher
Person104,60,London,Engineer
Person105,28,Tokyo,Engineer
Person106,78,London,Teacher
Person107,25,New York,Doctor
Person108,51,New York,Artist
Person109,64,New York,Engineer
Person110,68,Paris,Doctor
Person111,69,New York,Engineer
Person112,26,Paris,Doctor
Person113,61,London,Teacher
Person114,20,Paris,Doctor
Person115,28,New York,Artist
Person116,79,Tokyo,Engineer
Person117,76,New York,Doctor
Person118,61,London,Teacher
Person119,65,Paris,Artist
Person120,74,New York,Artist
Person121,24,Paris,Doctor
Person122,44,London,Doctor
Person123,50,New York,Artist
Person124,28,London,Teacher
